"stimulusFile","stimulus","accuracy","rt","participant","gender","age","condition","stimulus_category"
"stimuliBlock1.xlsx","Verkeerd",1,1497,108,"f",18,4,"false"
"stimuliBlock1.xlsx","Exact",1,1626,108,"f",18,4,"true"
"stimuliBlock1.xlsx","Exact",1,1617,108,"f",18,4,"true"
"stimuliBlock1.xlsx","Goed",1,1561,108,"f",18,4,"true"
"stimuliBlock1.xlsx","Mis",1,1688,108,"f",18,4,"false"
"stimuliBlock1.xlsx","Incorrect",1,1638,108,"f",18,4,"false"
"stimuliBlock1.xlsx","In orde",1,1654,108,"f",18,4,"true"
"stimuliBlock1.xlsx","Correct",1,1516,108,"f",18,4,"true"
"stimuliBlock1.xlsx","Fout",1,1451,108,"f",18,4,"false"
"stimuliBlock1.xlsx","Verkeerd",1,1498,108,"f",18,4,"false"
"stimuliBlock1.xlsx","Juist",1,1507,108,"f",18,4,"true"
"stimuliBlock1.xlsx","Onjuist",1,1498,108,"f",18,4,"false"
"stimuliBlock1.xlsx","In orde",1,1732,109,"f",24,1,"true"
"stimuliBlock1.xlsx","Goed",1,1319,109,"f",24,1,"true"
"stimuliBlock1.xlsx","Fout",1,1369,109,"f",24,1,"false"
"stimuliBlock1.xlsx","Exact",1,1368,109,"f",24,1,"true"
"stimuliBlock1.xlsx","Correct",1,1335,109,"f",24,1,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1248,109,"f",24,1,"false"
"stimuliBlock1.xlsx","Onjuist",1,1332,109,"f",24,1,"false"
"stimuliBlock1.xlsx","Mis",1,1320,109,"f",24,1,"false"
"stimuliBlock1.xlsx","Juist",1,1218,109,"f",24,1,"true"
"stimuliBlock1.xlsx","Incorrect",1,1205,109,"f",24,1,"false"
"stimuliBlock1.xlsx","Verkeerd",1,1346,109,"f",24,1,"false"
"stimuliBlock1.xlsx","Exact",1,1563,109,"f",24,1,"true"
"stimuliBlock1.xlsx","Correct",1,1219,109,"f",24,1,"true"
"stimuliBlock1.xlsx","In orde",1,1239,109,"f",24,1,"true"
"stimuliBlock1.xlsx","Onjuist",1,1537,109,"f",24,1,"false"
"stimuliBlock1.xlsx","Fout",1,1284,109,"f",24,1,"false"
"stimuliBlock1.xlsx","Mis",1,1205,109,"f",24,1,"false"
"stimuliBlock1.xlsx","Juist",1,1234,109,"f",24,1,"true"
"stimuliBlock1.xlsx","Incorrect",1,1334,109,"f",24,1,"false"
"stimuliBlock1.xlsx","Goed",1,1199,109,"f",24,1,"true"
"stimuliBlock1.xlsx","Incorrect",1,2925,110,"f",22,2,"false"
"stimuliBlock1.xlsx","Correct",1,1253,110,"f",22,2,"true"
"stimuliBlock1.xlsx","Juist",1,1416,110,"f",22,2,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1608,110,"f",22,2,"false"
"stimuliBlock1.xlsx","Exact",1,1465,110,"f",22,2,"true"
"stimuliBlock1.xlsx","Onjuist",1,1385,110,"f",22,2,"false"
"stimuliBlock1.xlsx","Mis",1,1448,110,"f",22,2,"false"
"stimuliBlock1.xlsx","Fout",1,1397,110,"f",22,2,"false"
"stimuliBlock1.xlsx","In orde",1,1525,110,"f",22,2,"true"
"stimuliBlock1.xlsx","Goed",1,1138,110,"f",22,2,"true"
"stimuliBlock1.xlsx","Exact",1,1217,110,"f",22,2,"true"
"stimuliBlock1.xlsx","Correct",1,1334,110,"f",22,2,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1299,110,"f",22,2,"false"
"stimuliBlock1.xlsx","Incorrect",1,1260,110,"f",22,2,"false"
"stimuliBlock1.xlsx","Juist",1,1183,110,"f",22,2,"true"
"stimuliBlock1.xlsx","Onjuist",1,1337,110,"f",22,2,"false"
"stimuliBlock1.xlsx","Mis",1,1245,110,"f",22,2,"false"
"stimuliBlock1.xlsx","Goed",1,1234,110,"f",22,2,"true"
"stimuliBlock1.xlsx","Fout",1,1263,110,"f",22,2,"false"
"stimuliBlock1.xlsx","In orde",1,1281,110,"f",22,2,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1754,111,"m",23,3,"false"
"stimuliBlock1.xlsx","Onjuist",1,1419,111,"m",23,3,"false"
"stimuliBlock1.xlsx","Mis",1,1290,111,"m",23,3,"false"
"stimuliBlock1.xlsx","Incorrect",1,1303,111,"m",23,3,"false"
"stimuliBlock1.xlsx","In orde",1,1440,111,"m",23,3,"true"
"stimuliBlock1.xlsx","Fout",1,1406,111,"m",23,3,"false"
"stimuliBlock1.xlsx","Correct",1,1338,111,"m",23,3,"true"
"stimuliBlock1.xlsx","Goed",1,1271,111,"m",23,3,"true"
"stimuliBlock1.xlsx","Exact",1,1306,111,"m",23,3,"true"
"stimuliBlock1.xlsx","Juist",1,1206,111,"m",23,3,"true"
"stimuliBlock1.xlsx","Correct",1,1202,111,"m",23,3,"true"
"stimuliBlock1.xlsx","Goed",1,1141,111,"m",23,3,"true"
"stimuliBlock1.xlsx","Fout",1,1224,111,"m",23,3,"false"
"stimuliBlock1.xlsx","Verkeerd",1,1373,111,"m",23,3,"false"
"stimuliBlock1.xlsx","Incorrect",1,1373,111,"m",23,3,"false"
"stimuliBlock1.xlsx","Juist",1,1272,111,"m",23,3,"true"
"stimuliBlock1.xlsx","Exact",1,1308,111,"m",23,3,"true"
"stimuliBlock1.xlsx","Onjuist",1,1373,111,"m",23,3,"false"
"stimuliBlock1.xlsx","In orde",1,1290,111,"m",23,3,"true"
"stimuliBlock1.xlsx","Mis",1,1291,111,"m",23,3,"false"
"stimuliBlock1.xlsx","Goed",1,2619,112,"f",23,4,"true"
"stimuliBlock1.xlsx","Correct",1,1775,112,"f",23,4,"true"
"stimuliBlock1.xlsx","Incorrect",1,1305,112,"f",23,4,"false"
"stimuliBlock1.xlsx","Fout",1,1220,112,"f",23,4,"false"
"stimuliBlock1.xlsx","Exact",1,1462,112,"f",23,4,"true"
"stimuliBlock1.xlsx","Onjuist",1,1199,112,"f",23,4,"false"
"stimuliBlock1.xlsx","In orde",1,1214,112,"f",23,4,"true"
"stimuliBlock1.xlsx","Juist",1,1121,112,"f",23,4,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1294,112,"f",23,4,"false"
"stimuliBlock1.xlsx","Mis",1,1284,112,"f",23,4,"false"
"stimuliBlock1.xlsx","In orde",1,1235,112,"f",23,4,"true"
"stimuliBlock1.xlsx","Incorrect",1,1522,112,"f",23,4,"false"
"stimuliBlock1.xlsx","Correct",1,1331,112,"f",23,4,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1379,112,"f",23,4,"false"
"stimuliBlock1.xlsx","Juist",1,1237,112,"f",23,4,"true"
"stimuliBlock1.xlsx","Onjuist",1,1314,112,"f",23,4,"false"
"stimuliBlock1.xlsx","Fout",1,1301,112,"f",23,4,"false"
"stimuliBlock1.xlsx","Mis",1,1219,112,"f",23,4,"false"
"stimuliBlock1.xlsx","Goed",1,1217,112,"f",23,4,"true"
"stimuliBlock1.xlsx","Exact",1,1280,112,"f",23,4,"true"
"stimuliBlock1.xlsx","Onjuist",1,1440,113,"m",26,1,"false"
"stimuliBlock1.xlsx","Goed",1,1154,113,"m",26,1,"true"
"stimuliBlock1.xlsx","In orde",1,1304,113,"m",26,1,"true"
"stimuliBlock1.xlsx","Correct",1,1153,113,"m",26,1,"true"
"stimuliBlock1.xlsx","Mis",1,1373,113,"m",26,1,"false"
"stimuliBlock1.xlsx","Juist",1,1353,113,"m",26,1,"true"
"stimuliBlock1.xlsx","Exact",1,1556,113,"m",26,1,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1371,113,"m",26,1,"false"
"stimuliBlock1.xlsx","Incorrect",1,1256,113,"m",26,1,"false"
"stimuliBlock1.xlsx","Fout",1,1253,113,"m",26,1,"false"
"stimuliBlock1.xlsx","Fout",1,1124,113,"m",26,1,"false"
"stimuliBlock1.xlsx","Mis",1,1140,113,"m",26,1,"false"
"stimuliBlock1.xlsx","In orde",1,1137,113,"m",26,1,"true"
"stimuliBlock1.xlsx","Onjuist",1,1139,113,"m",26,1,"false"
"stimuliBlock1.xlsx","Correct",1,1290,113,"m",26,1,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1420,113,"m",26,1,"false"
"stimuliBlock1.xlsx","Exact",1,1353,113,"m",26,1,"true"
"stimuliBlock1.xlsx","Juist",1,1307,113,"m",26,1,"true"
"stimuliBlock1.xlsx","Goed",1,1173,113,"m",26,1,"true"
"stimuliBlock1.xlsx","Incorrect",1,1241,113,"m",26,1,"false"
"stimuliBlock1.xlsx","Incorrect",1,5274,114,"f",24,2,"false"
"stimuliBlock1.xlsx","Onjuist",1,1385,114,"f",24,2,"false"
"stimuliBlock1.xlsx","Correct",1,1285,114,"f",24,2,"true"
"stimuliBlock1.xlsx","Goed",1,1137,114,"f",24,2,"true"
"stimuliBlock1.xlsx","Juist",1,1132,114,"f",24,2,"true"
"stimuliBlock1.xlsx","In orde",1,1214,114,"f",24,2,"true"
"stimuliBlock1.xlsx","Exact",1,1087,114,"f",24,2,"true"
"stimuliBlock1.xlsx","Mis",1,1501,114,"f",24,2,"false"
"stimuliBlock1.xlsx","Fout",1,1178,114,"f",24,2,"false"
"stimuliBlock1.xlsx","Verkeerd",1,1235,114,"f",24,2,"false"
"stimuliBlock1.xlsx","Incorrect",1,1168,114,"f",24,2,"false"
"stimuliBlock1.xlsx","Onjuist",1,1305,114,"f",24,2,"false"
"stimuliBlock1.xlsx","Goed",1,1532,114,"f",24,2,"true"
